"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"24","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.625,53.375,"SSP5-8.5","SST",0.017609467,0,0.234804976,0.690573092,0.991342046,0.098091961,0.502202025,0.275854902,0.069483451,0.828104675,0.55413012,0.055969879,0.235746884,0.321469694,0.466872734,0.386783009,0.376922031,0.379691651,0.409309634,0.315044777,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"25","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.375,53.375,"SSP5-8.5","SST",0.016963958,0,0.261261141,0.707800875,0.991342046,0.098091961,0.502202025,0.277704419,0.069483451,0.828104675,0.533003393,0.056604132,0.246506494,0.329881511,0.467335113,0.386479526,0.371798913,0.376361626,0.409713762,0.309515835,"Low","Low","Moderate","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"26","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.125,53.375,"SSP5-8.5","SST",0.016077122,0,0.034735259,0.712058219,0.991342046,0.098091961,0.502202025,0.281185364,0.069483451,0.828104675,0.529689023,0.062768815,0.19071765,0.347850079,0.468205349,0.385913709,0.372511491,0.374181972,0.408887183,0.403789508,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"27","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.875,53.375,"SSP5-8.5","SST",0.015365919,0,0.034735259,0.715186495,0.991342046,0.098091961,0.502202025,0.282102338,0.069483451,0.828104675,0.526853915,0.082288225,0.191321918,0.3495321,0.468434593,0.385765826,0.376682567,0.368498159,0.409854945,0.404087314,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"28","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.625,53.375,"SSP5-8.5","SST",0.015291136,0,0.042178357,0.715069461,0.991342046,0.098091961,0.502202025,0.285446181,0.069483451,0.828104675,0.523239371,0.182867738,0.193134739,0.348393005,0.469270553,0.385230698,0.400923809,0.343921382,0.415605482,0.408445241,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"29","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.375,53.375,"SSP5-8.5","SST",0.015660393,0,0.056243542,0.71005513,0.991342046,0.098091961,0.502202025,0.292510174,0.069483451,0.828104675,0.400415051,0.01507191,0.195489766,0.343861346,0.471036551,0.384121695,0.328268772,0.374211675,0.396311432,0.401233802,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"30","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.125,53.375,"SSP5-8.5","SST",0.016143703,0,0.034735259,0.715188987,0.991342046,0.098091961,0.502202025,0.320408311,0.069483451,0.828104675,0.401429749,0.004271879,0.191516987,0.349403023,0.478011086,0.380031162,0.325822439,0.377318764,0.392997372,0.409984152,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","High","High","Moderate"
"31","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-51.875,53.375,"SSP5-8.5","SST",0.01664659,0,0.034735259,0.697107078,0.991342046,0.098091961,0.502202025,0.380180643,0.069483451,0.828104675,0.407939264,0.003053499,0.187122232,0.340285668,0.492954169,0.372876222,0.327145222,0.378115099,0.384256342,0.401489883,"Low","Low","Low","High","Low","Critical","High","High","Low","Critical","High","Low","Low","Moderate","High","Moderate"
"32","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-51.625,53.375,"SSP5-8.5","SST",0.020075464,0,0.034735259,0.72495196,0.991342046,0.098091961,0.502202025,0.47107972,0.069483451,0.828104675,0.428494826,0.001315403,0.194940671,0.353627604,0.515678938,0.366426433,0.331849589,0.380218468,0.374358345,0.379372303,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","Moderate","High","Moderate"
"33","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.375,53.125,"SSP5-8.5","SST",0.020719274,0,0.063418479,0.686923,0.991342046,0.098091961,0.502202025,0.284893585,0.069483451,0.828104675,0.59913374,0.053758082,0.192765188,0.330494947,0.469132404,0.385318683,0.387619987,0.387917283,0.410933535,0.385785661,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"34","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.125,53.125,"SSP5-8.5","SST",0.019795089,0,0.049408371,0.678639309,0.991342046,0.098091961,0.502202025,0.285158302,0.069483451,0.828104675,0.58116062,0.060716562,0.186960692,0.328413937,0.469198583,0.385276512,0.384866327,0.382766731,0.409776185,0.392731175,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"35","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.875,53.125,"SSP5-8.5","SST",0.019762572,0,0.054653262,0.68860631,0.991342046,0.098091961,0.502202025,0.281620095,0.069483451,0.828104675,0.572425852,0.109169742,0.190755536,0.33266875,0.468314032,0.385843538,0.39479593,0.368202565,0.413063595,0.391242039,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"36","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.625,53.125,"SSP5-8.5","SST",0.02007827,0,0.038025285,0.697419269,0.991342046,0.098091961,0.502202025,0.282780682,0.069483451,0.828104675,0.571429409,0.172580467,0.188880706,0.339381305,0.468604178,0.385656742,0.410399501,0.352699064,0.418238759,0.407056373,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"37","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.375,53.125,"SSP5-8.5","SST",0.020338184,0,0.034735259,0.707174498,0.991342046,0.098091961,0.502202025,0.284457186,0.069483451,0.828104675,0.564889233,0.205543665,0.190561985,0.344702998,0.469023305,0.385388293,0.417005256,0.344654326,0.420656232,0.414919122,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"38","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.125,53.125,"SSP5-8.5","SST",0.020316101,0,0.034735259,0.720898919,0.991342046,0.098091961,0.502202025,0.290210595,0.069483451,0.828104675,0.556605602,0.138835038,0.19398757,0.351563093,0.470461657,0.384479504,0.398257192,0.358345785,0.415040196,0.404784727,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"39","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.875,53.125,"SSP5-8.5","SST",0.019710905,0,0.034735259,0.720808365,0.991342046,0.098091961,0.502202025,0.287845622,0.069483451,0.828104675,0.562636829,0.118525803,0.193813632,0.351617624,0.469870413,0.384850724,0.39468769,0.364271136,0.414435368,0.403509556,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"40","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.625,53.125,"SSP5-8.5","SST",0.018601718,0,0.039843342,0.719884258,0.991342046,0.098091961,0.502202025,0.290661679,0.069483451,0.828104675,0.55705402,0.174146276,0.19458233,0.350579391,0.470574428,0.384409071,0.407197106,0.350230152,0.417453473,0.407532567,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"41","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.375,53.125,"SSP5-8.5","SST",0.017050732,0,0.045638665,0.714937674,0.991342046,0.098091961,0.502202025,0.289930704,0.069483451,0.828104675,0.405471396,0.056354744,0.194406768,0.347531067,0.470391684,0.384523266,0.339853567,0.36339438,0.398945825,0.400365501,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"42","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.125,53.125,"SSP5-8.5","SST",0.01658782,0,0.037087892,0.718201035,0.991342046,0.098091961,0.502202025,0.300635636,0.069483451,0.828104675,0.405471396,0.01319727,0.192969187,0.350482984,0.473067917,0.38288237,0.329064198,0.375070455,0.396247036,0.408846084,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"43","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-51.875,53.125,"SSP5-8.5","SST",0.017018083,0,0.034735259,0.708876963,0.991342046,0.098091961,0.502202025,0.338984134,0.069483451,0.828104675,0.385439113,0.003439042,0.190157576,0.346103591,0.482655041,0.377568822,0.32161657,0.376568527,0.389216759,0.40866152,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"44","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-51.625,53.125,"SSP5-8.5","SST",0.018277002,0,0.034735259,0.701227762,0.991342046,0.098091961,0.502202025,0.406384294,0.069483451,0.828104675,0.406775851,0.007207803,0.188560006,0.342072828,0.499505082,0.370456856,0.327892945,0.376850419,0.380970313,0.395562091,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","Moderate","High","Moderate"
"45","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.375,52.875,"SSP5-8.5","SST",0.024452578,0,0.182858983,0.684184864,0.991342046,0.098091961,0.502202025,0.298300142,0.069483451,0.828104675,0.610594684,0.031919828,0.222874106,0.318042343,0.472484044,0.383234588,0.38502566,0.396421919,0.408008481,0.331017254,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"46","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.125,52.875,"SSP5-8.5","SST",0.02218607,0,0.223601919,0.69306675,0.991342046,0.098091961,0.502202025,0.290403607,0.069483451,0.828104675,0.592169018,0.040001314,0.234713685,0.32169836,0.47050991,0.384449352,0.382439615,0.390644476,0.409398066,0.317798891,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"47","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.875,52.875,"SSP5-8.5","SST",0.023406466,0,0.034735259,0.707829455,0.991342046,0.098091961,0.502202025,0.286577356,0.069483451,0.828104675,0.586487061,0.076675712,0.191492795,0.344528168,0.469553347,0.385051147,0.390187725,0.379229789,0.412958883,0.399531177,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"48","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.625,52.875,"SSP5-8.5","SST",0.025177634,0,0.034735259,0.709840045,0.991342046,0.098091961,0.502202025,0.287704129,0.069483451,0.828104675,0.602230498,0.129134,0.192438235,0.345245538,0.46983504,0.384873037,0.407238156,0.368135302,0.417693351,0.401429345,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Low","High","High","Moderate"
"49","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.375,52.875,"SSP5-8.5","SST",0.026415526,0,0.034735259,0.707622242,0.991342046,0.098091961,0.502202025,0.293238879,0.069483451,0.828104675,0.577894502,0.340703482,0.192193257,0.343938252,0.471218728,0.384008959,0.454046528,0.324547492,0.432895665,0.449304552,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","High","Low","High","High","High"
"50","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.125,52.875,"SSP5-8.5","SST",0.026657933,0,0.253471461,0.723336759,0.991342046,0.098091961,0.502202025,0.29913739,0.069483451,0.828104675,0.56810956,0.186919034,0.250866538,0.334882275,0.472693356,0.38310795,0.41315418,0.34904011,0.419034258,0.300092355,"Low","Low","Moderate","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Moderate","High","High","Moderate"
"51","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.875,52.875,"SSP5-8.5","SST",0.026881906,0,0.246596964,0.724920185,0.991342046,0.098091961,0.502202025,0.300732549,0.069483451,0.828104675,0.460712252,0.239717938,0.249599764,0.335579998,0.473092145,0.382867825,0.399504579,0.327561769,0.413971266,0.30585892,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Moderate","High","High","Moderate"
"52","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.625,52.875,"SSP5-8.5","SST",0.025800336,0,0.209391586,0.724158556,0.991342046,0.098091961,0.502202025,0.297771263,0.069483451,0.828104675,0.45584067,0.230942205,0.239837619,0.336069324,0.472351824,0.383314798,0.39609275,0.328710843,0.412442452,0.32160997,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Moderate","High","High","Moderate"
"53","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.375,52.875,"SSP5-8.5","SST",0.023280592,0,0.178708374,0.721506034,0.991342046,0.098091961,0.502202025,0.291610334,0.069483451,0.828104675,0.468868822,0.123937638,0.23087375,0.336570385,0.470811591,0.384261338,0.372598647,0.351408977,0.406597596,0.331953244,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Moderate","Moderate","High","High","Moderate"
